email,firstName,lastName,startDate,employmentType,department,level,city,country,gender,salary,bonus
Kathy.Morgan@hookfish.com,Kathy,Morgan,2020-06-21,full time,Kitchen,5,Detroit,United States of America,Male,224066,23412
Kimberly.Miller@hookfish.com,Kimberly,Miller,2015-04-17,full time,Management,4,Montgomery,United States of America,Female,167830,10130
Donna.Sanders@hookfish.com,Donna,Sanders,2012-01-15,full time,Management,5,San Diego,United States of America,Female,339995,21413
Sandra.Mitchell@hookfish.com,Sandra,Mitchell,2020-10-18,full time,Management,4,Austin,United States of America,Male,233637,12446
Beverly.Bryant@hookfish.com,Beverly,Bryant,2018-08-05,full time,Front of house,2,Arlington,United States of America,Male,212276,12628
Wanda.White@hookfish.com,Wanda,White,2012-10-24,full time,Front of house,5,Anchorage,United States of America,Female,229799,17337
Mary.Young@hookfish.com,Mary,Young,2017-04-14,full time,Operations,4,Corpus Christi,United States of America,Female,76171,22593
Paul.Anderson@hookfish.com,Paul,Anderson,2014-08-14,full time,Kitchen,2,Long Beach,United States of America,Male,59339,27844
Juan.Lewis@hookfish.com,Juan,Lewis,2017-08-28,full time,Management,5,Huntington,United States of America,Female,136757,34426
Craig.Taylor@hookfish.com,Craig,Taylor,2016-05-19,full time,Operations,1,Atlanta,United States of America,Female,275931,25829
Ruth.Collins@hookfish.com,Ruth,Collins,2020-01-28,full time,Operations,4,Chula Vista,United States of America,Female,56261,24140
Phyllis.Gray@hookfish.com,Phyllis,Gray,2018-06-28,full time,Kitchen,4,Los Angeles,United States of America,Male,317237,34119
Samuel.Parker@hookfish.com,Samuel,Parker,2013-07-05,full time,Management,1,Minneapolis,United States of America,Female,320850,29810
Julie.Campbell@hookfish.com,Julie,Campbell,2016-11-21,full time,Management,4,Norfolk,United States of America,Male,154332,15729
Lisa.Brooks@hookfish.com,Lisa,Brooks,2019-10-15,full time,Kitchen,1,Birmingham,United States of America,Female,179990,32580
Lois.Edwards@hookfish.com,Lois,Edwards,2013-02-06,full time,Management,2,Raleigh,United States of America,Female,75545,16476
Frank.Jones@hookfish.com,Frank,Jones,2020-02-07,full time,Operations,4,Nashville-Davidson,United States of America,Male,323250,27369
Teresa.Hughes@hookfish.com,Teresa,Hughes,2016-08-23,full time,Front of house,5,Newark,United States of America,Male,183098,8941
Justin.Martinez@hookfish.com,Justin,Martinez,2016-05-22,full time,Management,1,Mesa,United States of America,Female,160611,33481
Andrew.Hill@hookfish.com,Andrew,Hill,2012-09-18,full time,Kitchen,5,St. Louis,United States of America,Female,208253,24068
Aaron.Torres@hookfish.com,Aaron,Torres,2018-04-27,full time,Front of house,2,Cincinnati,United States of America,Male,286148,22632
Elizabeth.Peterson@hookfish.com,Elizabeth,Peterson,2014-01-20,full time,Operations,5,Stockton,United States of America,Female,212316,29139
Ruby.Ramirez@hookfish.com,Ruby,Ramirez,2016-01-10,full time,Kitchen,5,Minneapolis,United States of America,Female,166519,24428
Judith.Walker@hookfish.com,Judith,Walker,2019-12-24,full time,Management,5,Montgomery,United States of America,Female,82224,13570
Anne.Gonzales@hookfish.com,Anne,Gonzales,2017-09-22,full time,Operations,1,Kansas City,United States of America,Male,209901,20776
Helen.Green@hookfish.com,Helen,Green,2020-10-12,full time,Kitchen,5,St. Louis,United States of America,Female,52696,8921
Michael.Moore@hookfish.com,Michael,Moore,2015-05-24,full time,Operations,5,San Jose,United States of America,Male,328404,30673
Victor.Baker@hookfish.com,Victor,Baker,2014-06-14,full time,Management,4,Plano,United States of America,Female,242097,20986
Kelly.Foster@hookfish.com,Kelly,Foster,2019-08-02,full time,Front of house,1,Cincinnati,United States of America,Female,130052,14885
Maria.Wilson@hookfish.com,Maria,Wilson,2014-07-19,full time,Management,2,San Antonio,United States of America,Male,104853,32764
Karen.Wood@hookfish.com,Karen,Wood,2019-02-12,full time,Front of house,2,Chula Vista,United States of America,Male,237049,25459
Rebecca.Morris@hookfish.com,Rebecca,Morris,2012-11-08,full time,Operations,1,Baton Rouge,United States of America,Female,68461,13669
Robert.Smith@hookfish.com,Robert,Smith,2015-11-29,full time,Kitchen,1,Long Beach,United States of America,Female,327413,14719
Benjamin.Jenkins@hookfish.com,Benjamin,Jenkins,2015-06-23,full time,Management,4,Toledo,United States of America,Male,207864,30951
Ronald.Davis@hookfish.com,Ronald,Davis,2018-11-15,full time,Kitchen,1,San Francisco,United States of America,Female,306613,5315
Fred.Rogers@hookfish.com,Fred,Rogers,2013-02-27,full time,Kitchen,1,Riverside,United States of America,Female,229824,25225
James.Washington@hookfish.com,James,Washington,2017-12-28,full time,Front of house,5,Houston,United States of America,Female,309720,27458
Martin.Nelson@hookfish.com,Martin,Nelson,2015-06-13,full time,Kitchen,1,Newark,United States of America,Male,309524,5363
Kenneth.Reed@hookfish.com,Kenneth,Reed,2019-03-15,full time,Operations,4,Newark,United States of America,Female,191277,16904
Rebecca.Rodriguez@hookfish.com,Rebecca,Rodriguez,2020-04-15,full time,Kitchen,2,Jacksonville,United States of America,Male,222583,23979
Carolyn.Garcia@hookfish.com,Carolyn,Garcia,2013-10-03,full time,Management,3,Oklahoma City,United States of America,Female,246856,24346
Carol.Powell@hookfish.com,Carol,Powell,2015-11-03,full time,Front of house,1,Austin,United States of America,Female,103229,32965
Walter.Jackson@hookfish.com,Walter,Jackson,2012-01-09,full time,Kitchen,5,Baltimore,United States of America,Male,196021,24339
Henry.Johnson@hookfish.com,Henry,Johnson,2016-03-09,full time,Operations,1,Nashville-Davidson,United States of America,Male,255446,5359
Carl.Adams@hookfish.com,Carl,Adams,2017-01-13,full time,Kitchen,2,Denver,United States of America,Female,236488,5605
Louis.Gonzalez@hookfish.com,Louis,Gonzalez,2015-03-31,full time,Management,1,Norfolk,United States of America,Female,70976,11034
Christina.Price@hookfish.com,Christina,Price,2019-11-25,full time,Kitchen,3,Huntington,United States of America,Male,272287,6752
Stephanie.Scott@hookfish.com,Stephanie,Scott,2020-03-28,full time,Front of house,5,Mesa,United States of America,Female,268005,25745
Ralph.Hernandez@hookfish.com,Ralph,Hernandez,2019-03-30,full time,Kitchen,4,Minneapolis,United States of America,Female,290554,17698
Evelyn.Brooks@hookfish.com,Evelyn,Brooks,2013-11-15,full time,Operations,4,Mesa,United States of America,Female,137751,32121
Arthur.Miller@hookfish.com,Arthur,Miller,2020-03-12,full time,Operations,1,Minneapolis,United States of America,Male,203855,8505
Kenneth.James@hookfish.com,Kenneth,James,2017-09-09,full time,Management,2,Indianapolis,United States of America,Female,64428,6197
Carlos.Robinson@hookfish.com,Carlos,Robinson,2014-03-23,full time,Kitchen,2,Santa Ana,United States of America,Male,212721,31787
Lillian.Taylor@hookfish.com,Lillian,Taylor,2016-03-26,full time,Kitchen,1,Durham,United States of America,Female,191537,29331
Patrick.Moore@hookfish.com,Patrick,Moore,2016-11-03,full time,Management,2,Durham,United States of America,Female,124053,31539
Amanda.Henderson@hookfish.com,Amanda,Henderson,2018-01-24,full time,Operations,1,Seattle,United States of America,Male,170964,26908
Susan.Lee@hookfish.com,Susan,Lee,2016-02-11,full time,Front of house,1,Virginia Beach,United States of America,Male,102757,5961
Catherine.Williams@hookfish.com,Catherine,Williams,2017-01-05,full time,Front of house,4,Greensboro,United States of America,Female,285335,28242
Mary.Sanchez@hookfish.com,Mary,Sanchez,2014-01-18,full time,Operations,2,Laredo,United States of America,Female,205012,17101
Jean.Walker@hookfish.com,Jean,Walker,2016-03-15,full time,Front of house,5,Arlington,United States of America,Male,178151,7576
Rose.Davis@hookfish.com,Rose,Davis,2013-02-09,full time,Front of house,4,Long Beach,United States of America,Female,217179,16841
Irene.Anderson@hookfish.com,Irene,Anderson,2017-12-29,full time,Management,3,Chesapeake,United States of America,Female,161609,20445
Betty.Cox@hookfish.com,Betty,Cox,2015-04-03,full time,Front of house,1,Arlington,United States of America,Female,72485,26488
Julie.Campbell@hookfish.com,Julie,Campbell,2019-01-20,full time,Management,4,Memphis,United States of America,Male,281304,23249
Sean.Lewis@hookfish.com,Sean,Lewis,2019-10-03,full time,Kitchen,1,Tulsa,United States of America,Female,74755,7105
Brandon.Simmons@hookfish.com,Brandon,Simmons,2018-12-22,full time,Kitchen,2,Newark,United States of America,Male,139733,31845
Beverly.Rogers@hookfish.com,Beverly,Rogers,2019-03-24,full time,Kitchen,5,Seattle,United States of America,Female,82895,13611
Laura.Clark@hookfish.com,Laura,Clark,2015-09-11,full time,Management,5,Plano,United States of America,Female,299704,33835
Shawn.Lopez@hookfish.com,Shawn,Lopez,2018-02-20,full time,Kitchen,1,Garland,United States of America,Male,57675,7284
Victor.Ward@hookfish.com,Victor,Ward,2015-09-02,full time,Kitchen,4,Orlando,United States of America,Male,334210,15252
Joan.Smith@hookfish.com,Joan,Smith,2018-12-26,full time,Management,2,Tampa,United States of America,Female,213807,14325
Virginia.Cooper@hookfish.com,Virginia,Cooper,2018-08-09,full time,Operations,3,Reno,United States of America,Female,140679,26670
Billy.Patterson@hookfish.com,Billy,Patterson,2019-04-27,full time,Front of house,5,Montgomery,United States of America,Male,280761,15240
Jennifer.Bell@hookfish.com,Jennifer,Bell,2016-09-23,full time,Management,3,Arlington,United States of America,Female,57838,14951
Scott.Hughes@hookfish.com,Scott,Hughes,2017-11-17,full time,Operations,5,Milwaukee,United States of America,Female,104065,30922
Michael.Griffin@hookfish.com,Michael,Griffin,2014-07-17,full time,Front of house,3,Riverside,United States of America,Female,264572,30528
Phillip.Martinez@hookfish.com,Phillip,Martinez,2020-07-11,full time,Operations,4,Laredo,United States of America,Male,314970,30299
Ryan.Jenkins@hookfish.com,Ryan,Jenkins,2020-04-27,full time,Front of house,1,Kansas City,United States of America,Female,332040,21060
Joshua.Barnes@hookfish.com,Joshua,Barnes,2014-08-04,full time,Management,4,Greensboro,United States of America,Male,157713,16479
Patricia.Green@hookfish.com,Patricia,Green,2015-10-06,full time,Operations,2,Cleveland,United States of America,Female,124561,11018
Sandra.Harris@hookfish.com,Sandra,Harris,2017-09-21,full time,Kitchen,1,Honolulu,United States of America,Female,212943,19395
Jacqueline.Washington@hookfish.com,Jacqueline,Washington,2014-03-02,full time,Management,4,Sacramento,United States of America,Male,278724,21400
Nancy.Long@hookfish.com,Nancy,Long,2012-06-18,full time,Management,2,Garland,United States of America,Male,277604,21573
Sharon.Stewart@hookfish.com,Sharon,Stewart,2018-08-22,full time,Management,3,Indianapolis,United States of America,Female,89833,8263
Edward.Hall@hookfish.com,Edward,Hall,2015-07-03,full time,Kitchen,3,Arlington,United States of America,Female,134144,32007
Janice.Gonzales@hookfish.com,Janice,Gonzales,2015-01-25,full time,Front of house,1,Rochester,United States of America,Male,296390,6327
Jeffrey.Bailey@hookfish.com,Jeffrey,Bailey,2018-08-18,full time,Kitchen,3,San Jose,United States of America,Female,323747,6612
Keith.Reed@hookfish.com,Keith,Reed,2014-11-29,full time,Management,1,El Paso,United States of America,Female,131124,33496
John.Alexander@hookfish.com,John,Alexander,2013-07-22,full time,Operations,4,St. Petersburg,United States of America,Female,118981,14241
Harold.Butler@hookfish.com,Harold,Butler,2018-09-22,full time,Operations,1,Dallas,United States of America,Male,198475,22973
Lori.Murphy@hookfish.com,Lori,Murphy,2019-02-05,full time,Front of house,4,Henderson,United States of America,Female,103480,25048
Ashley.Turner@hookfish.com,Ashley,Turner,2020-07-24,full time,Kitchen,5,San Diego,United States of America,Male,62797,17032
Timothy.Thompson@hookfish.com,Timothy,Thompson,2018-01-15,full time,Operations,1,Long Beach,United States of America,Female,337010,24752
Diane.Ramirez@hookfish.com,Diane,Ramirez,2017-11-12,full time,Management,1,Bakersfield,United States of America,Female,169189,34270
Eugene.Gray@hookfish.com,Eugene,Gray,2016-06-29,full time,Kitchen,4,Aurora,United States of America,Male,220851,32470
Barbara.Morris@hookfish.com,Barbara,Morris,2017-01-06,full time,Front of house,3,San Francisco,United States of America,Male,201536,15962
Tina.Martin@hookfish.com,Tina,Martin,2018-08-26,full time,Management,2,Toledo,United States of America,Female,164200,7455
James.Howard@hookfish.com,James,Howard,2016-06-19,full time,Kitchen,3,Pittsburgh,United States of America,Female,224121,14494
Angela.Bryant@hookfish.com,Angela,Bryant,2019-02-19,full time,Front of house,5,Mesa,United States of America,Male,290040,25823
Anna.Bennett@hookfish.com,Anna,Bennett,2015-10-05,full time,Operations,1,Cleveland,United States of America,Female,343212,28025
Peter.King@hookfish.com,Peter,King,2012-03-14,full time,Management,1,Cleveland,United States of America,Female,235977,31231
Lawrence.Foster@hookfish.com,Lawrence,Foster,2016-10-30,full time,Operations,5,Greensboro,United States of America,Female,57424,5109
Frances.Carter@hookfish.com,Frances,Carter,2014-10-09,full time,Operations,4,Reno,United States of America,Male,333231,11092
Jerry.Roberts@hookfish.com,Jerry,Roberts,2016-07-09,full time,Kitchen,1,Omaha,United States of America,Female,82046,24055
Ann.Evans@hookfish.com,Ann,Evans,2017-09-19,full time,Management,2,Rochester,United States of America,Male,106478,10677
Cheryl.Diaz@hookfish.com,Cheryl,Diaz,2019-06-29,full time,Front of house,3,Aurora,United States of America,Female,104613,28093
Bobby.Ross@hookfish.com,Bobby,Ross,2017-03-26,full time,Management,5,Dallas,United States of America,Female,143458,20753
Douglas.Torres@hookfish.com,Douglas,Torres,2015-06-14,full time,Operations,1,Sacramento,United States of America,Male,305921,12583
Paul.Thomas@hookfish.com,Paul,Thomas,2013-03-21,full time,Management,5,San Jose,United States of America,Male,149195,31369
Tammy.Collins@hookfish.com,Tammy,Collins,2013-02-07,full time,Kitchen,4,Washington,United States of America,Female,332494,20818
Karen.Peterson@hookfish.com,Karen,Peterson,2018-11-21,full time,Management,3,Arlington,United States of America,Female,163663,31127
Martha.Edwards@hookfish.com,Martha,Edwards,2020-10-01,full time,Management,5,Washington,United States of America,Male,231268,11110
Theresa.Nelson@hookfish.com,Theresa,Nelson,2015-04-23,full time,Management,5,El Paso,United States of America,Female,76325,10645
Ruby.Phillips@hookfish.com,Ruby,Phillips,2020-06-21,full time,Front of house,1,Sacramento,United States of America,Female,274486,25869
Andrew.Russell@hookfish.com,Andrew,Russell,2013-02-09,full time,Operations,2,New Orleans,United States of America,Female,156339,7045
Mildred.Morgan@hookfish.com,Mildred,Morgan,2015-03-30,full time,Front of house,5,Virginia Beach,United States of America,Male,158743,17328
Joseph.Coleman@hookfish.com,Joseph,Coleman,2013-05-07,full time,Operations,5,Wichita,United States of America,Female,346202,22986
David.Wright@hookfish.com,David,Wright,2014-01-10,full time,Operations,1,El Paso,United States of America,Male,189583,12254
